Instance_no,Instance_name,No. of Nodes,No. of Edges,No. of Districts,No. of Threads,Branch_Cut_Time,Objective Function_Branch_Cut,Sol_Status_Branch_Cut,Time_SP_Const,Time_to_print_path,Total_Time_SP,Objective_Function_SPC,Sol_Status_SP_Const,Speedup,Instance_no_df2,Instance_name_df2,No. of Edges_df2,No. of Threads_df2,EPM_Time,Objective Function_EPM,Sol_Status_EPM
66,CARP_K9_p_graph.dat,1735,2226,100,unlimited,25220.7,822347.0,integer optimal solution,3043.25,158.1,3201.35,822347.0,"""integer optimal",7.88,54,CARP_K9_p_graph.dat,2226,unlimited,8795.47,822347.0,"""integer optimal"
67,CARP_F15_g_graph.dat,198,265,2,unlimited,8.98,111082.0,integer optimal solution,9.03,0.6400000000000001,9.67,111082.0,integer optimal solution,0.93,1,CARP_F15_g_graph.dat,265,unlimited,6.27,111082.0,integer optimal solution
68,CARP_F15_g_graph.dat,198,265,10,unlimited,21.4,35977.0,integer optimal solution,7.7,0.6400000000000001,8.34,35977.0,integer optimal solution,2.57,2,CARP_F15_g_graph.dat,265,unlimited,6.93,35977.0,integer optimal solution
69,CARP_F15_g_graph.dat,198,265,30,unlimited,112.24,11439.0,integer optimal solution,6.73,0.6400000000000001,7.370000000000001,11439.0,integer optimal solution,15.23,3,CARP_F15_g_graph.dat,265,unlimited,4.13,11439.0,integer optimal solution
70,CARP_F15_g_graph.dat,198,265,40,unlimited,141.26,7575.0,integer optimal solution,7.2,0.6400000000000001,7.84,7575.0,integer optimal solution,18.02,4,CARP_F15_g_graph.dat,265,unlimited,4.49,7575.0,integer optimal solution
71,CARP_F15_g_graph.dat,198,265,50,unlimited,175.18,4976.0,integer optimal solution,6.93,0.6400000000000001,7.57,4976.0,integer optimal solution,23.14,5,CARP_F15_g_graph.dat,265,unlimited,4.19,4976.0,integer optimal solution
72,CARP_F15_g_graph.dat,198,265,100,unlimited,390.17,9.0,integer optimal solution,7.63,0.6400000000000001,8.27,9.0,integer optimal solution,47.18,6,CARP_F15_g_graph.dat,265,unlimited,5.27,9.0,integer optimal solution
73,CARP_F6_p_graph.dat,502,741,2,unlimited,73.3,642808.0,integer optimal solution,93.84,6.710000000000001,100.55,642808.0,integer optimal solution,0.73,73,CARP_F6_p_graph.dat,741,unlimited,65.9,642808.0,integer optimal solution
74,CARP_F6_p_graph.dat,502,741,10,unlimited,341.59,231232.0,"""integer optimal",117.75,6.710000000000001,124.46,231232.0,"""integer optimal",2.74,74,CARP_F6_p_graph.dat,741,unlimited,55.58,231232.0,"""integer optimal"
75,CARP_F6_p_graph.dat,502,741,30,unlimited,904.32,98561.0,integer optimal solution,84.9,6.710000000000001,91.61,98561.0,integer optimal solution,9.87,75,CARP_F6_p_graph.dat,741,unlimited,43.98,98561.0,integer optimal solution
76,CARP_F6_p_graph.dat,502,741,40,unlimited,1173.09,76101.0,integer optimal solution,71.4,6.710000000000001,78.11000000000001,76101.0,integer optimal solution,15.02,76,CARP_F6_p_graph.dat,741,unlimited,25.14,76101.0,integer optimal solution
77,CARP_F6_p_graph.dat,502,741,50,unlimited,1699.4,61507.0,"""integer optimal",82.39,6.710000000000001,89.1,61507.0,integer optimal solution,19.07,77,CARP_F6_p_graph.dat,741,unlimited,34.67,61507.0,"""integer optimal"
78,CARP_F6_p_graph.dat,502,741,100,unlimited,4294.45,26075.0,integer optimal solution,75.79,6.710000000000001,82.5,26075.0,integer optimal solution,52.05,78,CARP_F6_p_graph.dat,741,unlimited,29.97,26075.0,"""integer optimal"
